period,slope,slope_lower,slope_upper,intercept,r_squared,p_value,n_months,boot_lower,boot_upper,perm_p_twosided,perm_p_onesided,delta_median,delta_lower_95,delta_upper_95
Pre-COVID,0.22449100490660165,0.06215843952805869,0.3868235702851446,-0.6027981399765289,0.7865788369449208,0.018466354649360067,6,0.1015603655338868,0.40614577153796066,0.0238,0.0147,0.09,0.09,0.09
During COVID,-0.039857483892276585,-0.11783344872084123,0.03811848093628806,-0.1790433216159156,0.17266551553637915,0.26602514979922526,9,-0.1166210383474956,0.029352996363266704,0.2562,0.8719,0.09,0.09,0.09
Post-COVID,0.34436884304874793,0.19618388579281895,0.4925538003046769,-0.7652854453365684,0.8118127610647258,9.111796458735654e-4,9,0.18057446887349102,0.4708074448023476,2e-4,1e-4,0.09,0.09,0.09
Overall (ignoring COVID),0.06022215319004418,0.018338634456699303,0.10210567192338907,-0.604803917180051,0.2878373241402728,0.006876642449658193,24,NA,NA,NA,NA,0.09,0.09,0.09
