kernel,divergences,max_treedepth_exceeded,max_rhat,min_ess_bulk,min_ess_tail,kernel.y,coverage_80,coverage_95,kernel.y.y,climate_median,climate_q5,climate_q95,residual_median,residual_q5,residual_q95,elpd_loo,se_loo,p_loo
matern12,0,0,1.006658862364396,909.5277938455729,1817.163990644734,Matérn 1/2,92.1602787456446,98.08362369337979,Matérn 1/2,0.38267517,0.03252351045,1.4899838349999999,99.617325,98.51001615000001,99.96747670000002,-2839.4260680149814,24.308158127220263,105.2315049316328
matern32,0,0,1.0047117357462811,804.6768533164562,1609.4448329626457,Matérn 3/2,91.81184668989548,98.08362369337979,Matérn 3/2,0.36783164999999995,0.028047712650000004,1.4411283199999998,99.6321685,98.5588715,99.97195214999999,-2840.2222524575304,24.344078380343113,105.82650663099878
matern52,0,0,1.0040343820797466,972.8133192977338,1661.4487637860357,Matérn 5/2,91.63763066202091,98.25783972125436,Matérn 5/2,0.36216015,0.028099171900000008,1.5526440999999997,99.63784,98.44735560000001,99.97190035,-2841.2746584819965,24.337550760001545,106.19891393765602
sqexp,0,0,1.0039084875434168,963.6706775884554,1861.9333692658952,Squared Exp.,91.98606271777004,98.08362369337979,Squared Exp.,0.366757955,0.026300271350000005,1.4024230599999994,99.633242,98.5975774,99.97369970000001,-2840.980088578721,24.402356631164967,106.62627417011369
