date,Rt_mean,Rt_median,Rt_lower,Rt_upper,Rt_lower50,Rt_upper50
2012-03-12,1.1018005054675,1.09045485,0.8522751615,1.416447645,1.001618325,1.188235825
2012-03-19,1.0636135629325,1.05830505,0.8544717535,1.3095811075,0.9842107925,1.13722625
2012-03-26,1.0911414526075,1.0845771,0.89107630475,1.3211224125,1.013612475,1.162592925
2012-04-02,1.1517502384925,1.14569,0.94441279675,1.395647055,1.071206125,1.2232661500000002
2012-04-09,1.21213735939,1.20611325,0.99996471075,1.4558365425000002,1.12806055,1.2865048250000002
2012-04-16,1.22767242376,1.2215299,1.0201363775,1.4637221974999999,1.144876875,1.3070832000000001
2012-04-23,1.2314964697775,1.22382745,1.0242016,1.4690088175,1.15051475,1.307604375
2012-04-30,1.1895327038725,1.1825158999999998,0.99176591225,1.4307706825,1.1127238750000001,1.259330475
2012-05-07,1.1323886243325,1.12564105,0.94164155425,1.355584485,1.057700925,1.1989207000000002
2012-05-14,1.0864142879675,1.0797712,0.90628406975,1.3003472200000001,1.0154129500000002,1.1507470249999998
2012-05-21,1.0604525781425,1.05460455,0.879991735,1.2725379075,0.9892218125,1.126085075
2012-05-28,1.1188244883625,1.11350255,0.93219141825,1.3390504050000003,1.047141025,1.1838114
2012-06-04,1.187524171015,1.1834301,0.98875349125,1.4225396799999999,1.1110346,1.25639235
2012-06-11,1.2612077560675,1.2553907500000001,1.057335015,1.4985469675,1.1834158,1.332053375
2012-06-18,1.338277671085,1.3340632000000001,1.1273578899999999,1.5823076575,1.2578083,1.412271375
2012-06-25,1.3529459956425,1.3467934,1.1369290475,1.6012837825000001,1.27064165,1.427945075
2012-07-02,1.2891150036075,1.2834069499999998,1.0884350325,1.5236682700000002,1.211158775,1.3590516000000001
2012-07-09,1.163315460825,1.1580283,0.9780584025,1.3829725575,1.09204675,1.22665025
2012-07-16,1.0542252720625,1.04538595,0.885874008,1.2505885025,0.9887967925000001,1.115697525
2012-07-23,0.9579337496225,0.9514029900000001,0.8038018622499999,1.1413396649999998,0.8977903850000001,1.014651975
2012-07-30,0.903869823535,0.8990090550000001,0.7540448115000001,1.0786114274999998,0.8470663425,0.958336445
2012-08-06,0.8552009139975,0.85227913,0.714776286,1.0115878200000001,0.8018340250000001,0.904930625
2012-08-13,0.83138396527,0.8280189499999999,0.699783776,0.983179223,0.780867475,0.88009342
2012-08-20,0.811914011965,0.809176395,0.6758464167500001,0.962834137,0.7613362625000001,0.8592642775
2012-08-27,0.8324425065,0.82816823,0.69397192175,0.98731824225,0.778780355,0.8831580674999999
2012-09-03,0.85555675484,0.85311647,0.71204457525,1.0172821975,0.7988899450000001,0.90694042
2012-09-10,0.90527061154,0.90418299,0.756753479,1.0773046775000001,0.8467438375,0.9580864225000001
2012-09-17,0.9723355667575,0.96857471,0.8133036227499999,1.15843802,0.9085014025,1.029332025
2012-09-24,1.0613040717275,1.0568041,0.8899205840000001,1.26314411,0.993602435,1.1222220749999998
2012-10-01,1.136472209815,1.13183195,0.9478092052499999,1.3508403375000002,1.0658815,1.2014608249999998
2012-10-08,1.168137733905,1.1627877500000001,0.97332891925,1.3823600850000002,1.096649425,1.234766325
2012-10-15,1.1653697156625,1.1614019999999998,0.97094286525,1.3840438825,1.0931257749999999,1.233292025
2012-10-22,1.1340651130225,1.131117,0.945461289,1.3457937,1.06227605,1.200811525
2012-10-29,1.0442483575475,1.0415778,0.8684155285,1.23855644,0.9768624475000001,1.10644065
2012-11-05,0.9678871636025,0.964565565,0.80687105125,1.1497750400000002,0.9070747075,1.0252467
2012-11-12,0.91909927566,0.915022175,0.7615448930000001,1.102293185,0.8604897475,0.97422137
2012-11-19,0.851743080995,0.84728596,0.710698748,1.01198579,0.7984186900000001,0.9012847774999999
2012-11-26,0.8858216171975,0.8812203750000001,0.7421160265,1.048625615,0.829463325,0.9367629449999999
2012-12-03,0.9294941051375,0.9253527349999999,0.780196082,1.0992069875000001,0.8726001475,0.9833569475
2012-12-10,1.0141307140675,1.0095245,0.8494223674999999,1.202171125,0.9507290999999999,1.0735998
2012-12-17,1.1263081250825,1.1211332999999999,0.9460975332499999,1.3289868475000002,1.0548711,1.1924983500000002
2012-12-24,1.2512653642425,1.24467185,1.0498727524999998,1.4745574975,1.175905275,1.3220885500000001
2012-12-24,1.405981044625,1.39817385,1.1858992425000001,1.6656515675,1.3193451,1.4849423499999999
2013-01-07,1.578273544525,1.5688889000000001,1.3260969525,1.8742217025,1.478527525,1.671716
2013-01-14,1.69546460115,1.6859069999999998,1.4317472125,1.9985873625000001,1.5920713499999999,1.7892829
2013-01-21,1.745655911375,1.7368288,1.4802818175,2.0572128125000004,1.6429926000000001,1.8409649499999998
2013-01-28,1.755000291125,1.7458946,1.4998105325000002,2.0590556049999997,1.65327565,1.845851975
2013-02-04,1.628704071275,1.620182,1.3873982425,1.8987318599999998,1.534873,1.71331065
2013-02-11,1.468479606325,1.46291685,1.244511655,1.7260243999999998,1.380215725,1.5497643499999998
2013-02-18,1.234893668845,1.2308333,1.0405285299999998,1.45169348,1.1616723,1.2993029750000002
2013-02-25,1.0478241657925,1.04321905,0.88193050925,1.2446052525,0.9835398125,1.1070297
2013-03-04,0.964627641065,0.960109705,0.81573482,1.1347721874999999,0.90821795,1.016254025
2013-03-11,0.94843737254,0.9441659099999999,0.79902465375,1.1272656125,0.88863818000000006,1.001122225
2013-03-18,0.9770629351125,0.974143525,0.82641575275,1.1533692575,0.9198137975,1.02944785
2013-03-25,1.10802613718,1.104615,0.9346417415000001,1.3143669025,1.040070225,1.16922985
2013-04-01,1.282649458135,1.2777864,1.092002615,1.5028503524999999,1.209086425,1.351853725
2013-04-08,1.45497689535,1.44910615,1.2434999274999998,1.6992758975000002,1.3741989000000001,1.5335358749999999
2013-04-15,1.535677969925,1.5329301,1.3173771425,1.7888581975000002,1.45019275,1.6156245999999999
2013-04-22,1.5029051158,1.4958822999999999,1.2887354549999999,1.747348855,1.4190835,1.5801954749999998
2013-04-29,1.383699063,1.37772055,1.17922668,1.620335425,1.303723475,1.4595046749999998
2013-05-06,1.2499724123825,1.2457528500000001,1.0623899374999999,1.4663394175000002,1.177986075,1.3170076750000002
2013-05-13,1.1448607812075,1.13888645,0.9719369,1.3393812550000002,1.0797513250000002,1.20604665
2013-05-20,1.13873094314,1.1324393000000001,0.9673547762500001,1.3296995800000002,1.0733766249999999,1.2000232000000002
2013-05-27,1.1813268697625,1.17601585,1.0065354125,1.3798312799999999,1.11596875,1.244251125
2013-06-03,1.29670727995,1.2927305,1.102882185,1.5126285975,1.2237056,1.364810875
