variable,mean,median,sd,q2.5,q97.5,alpha_median_prior,rho_median_prior,label,divergences
phi,36.443742927,36.41263,2.556906754940629,31.627275575,41.711177875,0.3,15,"alpha~0.30, rho~15wks",0
alpha,0.3153235610575,0.313852135,0.02412092114304539,0.271393175,0.368469347,0.6,3,"alpha~0.60, rho~3wks",0
rho,2.59268253027,2.5920512000000002,0.5209711178807803,1.5755001700000002,3.6253636325000005,0.6,3,"alpha~0.60, rho~3wks",0
temp_effect,0.986014597595,0.98619418,0.013828566415277636,0.95823946925,1.0131930999999998,0.6,3,"alpha~0.60, rho~3wks",0
rain_effect,1.0000147589675,0.999804695,0.011668860253754758,0.9776301367500001,1.0237197175,0.6,3,"alpha~0.60, rho~3wks",0
prop_climate,0.006112509391706098,0.004381971199999999,0.0058229078979598215,1.6911510874999998e-4,0.022037525800000003,0.6,3,"alpha~0.60, rho~3wks",0
prop_residual,0.9938874906825,0.9956180299999999,0.005822907952624091,0.97796247425,0.99983088625,0.6,3,"alpha~0.60, rho~3wks",0
phi,36.62187113425,36.5374045,2.566897631146519,31.815092325000002,41.852535175,0.6,3,"alpha~0.60, rho~3wks",0
alpha,0.3129126539175,0.31217219,0.022617362791713228,0.27172213525,0.360416002,0.6,6,"alpha~0.60, rho~6wks",0
rho,2.843359240075,2.82613115,0.5066015228347822,1.8923361825,3.8953046325,0.6,6,"alpha~0.60, rho~6wks",0
temp_effect,0.986060499925,0.9859842649999999,0.01385289705991363,0.9591077482500001,1.0142237175,0.6,6,"alpha~0.60, rho~6wks",0
rain_effect,1.00032261403,1.00022485,0.011585167042803247,0.97759730475,1.0236758275,0.6,6,"alpha~0.60, rho~6wks",0
prop_climate,0.0061177501423072,0.004330894,0.005873767632427038,1.4404339525000002e-4,0.02212830130000001,0.6,6,"alpha~0.60, rho~6wks",0
prop_residual,0.9938822499125,0.9956691049999999,0.005873767663336552,0.97787169675,0.999855958,0.6,6,"alpha~0.60, rho~6wks",0
phi,36.480048581,36.4087605,2.5506470916045503,31.744884074999998,41.683607800000004,0.6,6,"alpha~0.60, rho~6wks",0
alpha,0.314685497095,0.31342928,0.023208038708116066,0.27257968275,0.362632594,0.6,15,"alpha~0.60, rho~15wks",0
rho,3.167730751575,3.152038,0.5139981632634143,2.196237175,4.1973319225,0.6,15,"alpha~0.60, rho~15wks",0
temp_effect,0.9859395958125,0.98593451,0.01371281844427195,0.95920932925,1.0127061750000002,0.6,15,"alpha~0.60, rho~15wks",0
rain_effect,1.0004329477675,1.0005981,0.011789154641860354,0.97730851175,1.0238961549999999,0.6,15,"alpha~0.60, rho~15wks",0
prop_climate,0.00624194135199805,0.004509520899999999,0.0059600824237682135,1.6865633399999999e-4,0.022077040500000006,0.6,15,"alpha~0.60, rho~15wks",0
prop_residual,0.99375805865,0.99549048,0.005960082429787283,0.9779229635,0.99983134125,0.6,15,"alpha~0.60, rho~15wks",0
phi,36.406671068,36.3571855,2.4840839605052207,31.651673575,41.419708125,0.6,15,"alpha~0.60, rho~15wks",0
