use_entropy,horizon,n_origins,mean_crps,mean_log_score,coverage_50,coverage_80,coverage_95,mean_width_95,mean_bias,mean_crps_baseline_rt1,mean_crps_baseline_rw,mean_skill_vs_rt1,mean_skill_vs_rw,entropy_label
0,4,4,119.19593656249998,-6.487855575294515,0.5,1,1,1125.1437499999993,181,181.48299263572872,62.43017741485781,0.34719959071040957,-7.633631866625288,Without entropy
0,8,4,242.583791375,-6.957177339597323,0,0.75,1,2137.2499999999964,360.5,157.2818422184867,84.24844448345807,-0.6654335687207904,-2.334250690532587,Without entropy
0,13,4,349.58519125,-7.2249902414537734,0.25,0.5,1,3562.5562499999955,498.875,73.86443137019468,53.672930147606444,-64.2135648784717,-10.53665908314674,Without entropy
1,4,4,128.3823388125,-6.531454978542929,0.25,0.75,1,1159.3499999999995,194.625,181.48299263572872,62.43017741485781,0.3002772640483493,-8.37758286080961,With entropy
1,8,4,262.454819,-7.027767986949584,0,0.75,1,2225.831249999999,388.75,157.2818422184867,84.24844448345807,-0.7636787673547578,-2.5358309223299176,With entropy
1,13,4,377.534982375,-7.263681591109451,0.25,0.5,1,3784.462499999996,535.125,73.86443137019468,53.672930147606444,-63.22184125593483,-11.596046295575107,With entropy
