model_label,elpd_loo,elpd_se,elpd_diff_vs_M0,family,config
M0,-2796.5433877230125,22.37064295543355,0,M0,baseline
"M1: log S_pop, S0 = 0.50",-2794.8478522444643,22.36869245130915,1.6955354785482086,M1,uniform_S0_050
"M1: log S_pop, S0 = 0.75",-2795.340892703134,22.382414016850053,1.20249501987837,M1,uniform_S0_075
"M1: log S_pop, S0 = 0.95",-2795.569837364856,22.360556037565004,0.9735503581564444,M1,uniform_S0_095
"M2: log S_dom, S0 = 0.50",-2797.078284643868,22.332711544573673,-0.5348969208553171,M2,uniform_S0_050
"M2: log S_dom, S0 = 0.75",-2797.7678815437052,22.37189123923322,-1.2244938206927145,M2,uniform_S0_075
"M2: log S_dom, S0 = 0.95",-2797.0550285634613,22.348207639812614,-0.5116408404487629,M2,uniform_S0_095
"M2: log S_dom, historical",-2796.4646032985484,22.34011419407524,0.07878442446417466,M2,historical
