serotype,n_weeks,Rt_median_of_medians,Rt_mean_of_medians,Rt_q25,Rt_q75,period,P_Rt_DENV3_gt_DENV2
DENV-1,369,1.0162029887823436,1.0229871473409808,0.8202771520400027,1.1933141862369,overall (prop > 5%),NA
DENV-2,516,0.9921954314174872,1.0372806041675673,0.7892735569525374,1.1912844363834425,overall (prop > 5%),NA
DENV-3,438,1.0123679920891813,1.0698645562988944,0.832086213700399,1.2698602464918738,overall (prop > 5%),0.539212987012987
DENV-4,187,0.9878673238279879,1.078037869203421,0.78430199829734,1.2840169846751748,overall (prop > 5%),NA
DENV-1,147,1.0257677983504334,1.0244387466059923,0.8192815325992897,1.1807412003018465,2013-2015,NA
DENV-2,214,0.9987842477106573,1.0384396889825698,0.8044515123652316,1.200340900624437,2016-2019,NA
DENV-3,155,0.9957410283190263,1.0669890279972245,0.7838944319883638,1.2716497952267125,2020-2022,0.539212987012987
