variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
mu,0.01676867231911125,0.017113588,0.033140642867111145,0.03167565188969999,-0.038742916599999996,0.07066823264999998,1.0008440333725097,6930.329320558637,2715.0933203111827
alpha,0.2974019192075,0.29643112,0.021437126827608028,0.020882294979000005,0.26428160749999996,0.33419797399999995,1.0008955603336835,1924.994610567533,2800.9936518558443
rho,2.83562734545,2.8320223,0.4868189372311535,0.4806733753500001,2.058812755,3.6631483449999993,1.0020616873231385,2397.5921873954503,3297.484961935359
phi,36.2418448225,36.197717499999996,2.563321477379948,2.6545923348000042,32.163559899999996,40.534410099999995,1.0005843300479622,4845.097276454969,2865.1311792992115
temp_effect,0.983552059285,0.9831849349999999,0.013726673636201732,0.013884208002000032,0.9615941050000001,1.00644078,0.999515123510313,8019.346933112903,2949.4260769901875
rain_effect,1.0008659738325,1.00077815,0.011799587582724435,0.011396004899999895,0.9815600135,1.02057865,1.0003787468866474,7703.515107891854,2802.9687380897717
prop_climate,0.00781014591463635,0.0060462104,0.006895154926925378,0.00587317045392,4.11857234e-4,0.0215451163,0.9994541637600003,3603.3486241288374,2980.092890051206
prop_residual,0.9921898541275,0.99395379,0.006895154961981605,0.005873171640000088,0.9784548845000001,0.9995881475,0.9994541604181404,3603.363668726132,2980.092890051206
