Month,D1_prop,D2_prop,D3_prop,D4_prop
2013-01,0.24324324324324326,0.7027027027027027,0.05405405405405406,0
2013-02,0.34146341463414637,0.36585365853658536,0.24390243902439024,0.04878048780487805
2013-03,0.5769230769230769,0.20512820512820512,0.1794871794871795,0.038461538461538464
2013-04,0.5,0.2894736842105263,0.17543859649122806,0.03508771929824561
2013-05,0.6410256410256411,0.1111111111111111,0.18803418803418803,0.05982905982905983
2013-06,0.6460176991150443,0.20353982300884957,0.08849557522123894,0.061946902654867256
2013-07,0.6964285714285714,0.03571428571428571,0.17857142857142858,0.08928571428571429
2013-08,0.803921568627451,0.11764705882352941,0.0784313725490196,0
2013-09,0.7166666666666667,0.18333333333333332,0.1,0
2013-10,0.8048780487804879,0.17073170731707318,0.012195121951219513,0.012195121951219513
2013-11,0.8235294117647058,0.15294117647058825,0.011764705882352941,0.011764705882352941
2013-12,0.8701298701298701,0.11688311688311688,0.012987012987012988,0
2014-01,0.8987341772151899,0.0759493670886076,0.012658227848101266,0.012658227848101266
2014-02,0.9,0.1,0,0
2014-03,0.8478260869565217,0.13043478260869565,0,0.021739130434782608
2014-04,0.9230769230769231,0.07692307692307693,0,0
2014-05,0.9325153374233128,0.05521472392638037,0.012269938650306749,0
2014-06,0.9222222222222223,0.06666666666666667,0.011111111111111112,0
2014-07,0.7291666666666666,0.25,0.020833333333333332,0
2014-08,0.6390532544378699,0.33727810650887574,0.023668639053254437,0
2014-09,0.7244897959183674,0.2653061224489796,0,0.01020408163265306
2014-10,0.6607142857142857,0.3392857142857143,0,0
2014-11,0.46153846153846156,0.5192307692307693,0.019230769230769232,0
2014-12,0.5238095238095238,0.47619047619047616,0,0
2015-01,0.7391304347826086,0.2318840579710145,0.014492753623188406,0.014492753623188406
2015-02,0.7058823529411765,0.23529411764705882,0.0392156862745098,0.0196078431372549
2015-03,0.6666666666666666,0.3055555555555556,0.027777777777777776,0
2015-04,0.59375,0.25,0.125,0.03125
2015-05,0.75,0.225,0.025,0
2015-06,0.6730769230769231,0.23076923076923078,0.07692307692307693,0.019230769230769232
2015-07,0.5901639344262295,0.21311475409836064,0.13114754098360656,0.06557377049180328
2015-08,0.6888888888888889,0.2222222222222222,0.08888888888888889,0
2015-09,0.34545454545454546,0.509090909090909,0.09090909090909091,0.05454545454545454
2015-10,0.36764705882352944,0.5,0.08823529411764706,0.04411764705882353
2015-11,0.4358974358974359,0.48717948717948717,0.05128205128205128,0.02564102564102564
2015-12,0.30833333333333335,0.5833333333333334,0.06666666666666667,0.041666666666666664
2016-01,0.3333333333333333,0.5823293172690763,0.04819277108433735,0.03614457831325301
2016-02,0.25316455696202533,0.5907172995780591,0.08860759493670886,0.06751054852320675
2016-03,0.13690476190476192,0.6666666666666666,0.17261904761904762,0.023809523809523808
2016-04,0.12871287128712872,0.5643564356435643,0.24752475247524752,0.0594059405940594
2016-05,0.10112359550561797,0.6741573033707865,0.1797752808988764,0.0449438202247191
2016-06,0.3076923076923077,0.47435897435897434,0.20512820512820512,0.01282051282051282
2016-07,0.24468085106382978,0.40425531914893614,0.32978723404255317,0.02127659574468085
2016-08,0.2689075630252101,0.48739495798319327,0.23529411764705882,0.008403361344537815
2016-09,0.30434782608695654,0.17391304347826086,0.4927536231884058,0.028985507246376812
2016-10,0.32608695652173914,0.45652173913043476,0.17391304347826086,0.043478260869565216
2016-11,0.34782608695652173,0.21739130434782608,0.391304347826087,0.043478260869565216
2016-12,0.7,0.3,0,0
