Year,Week,date,Month,D1_prop,D2_prop,D3_prop,D4_prop
2017,1,2017-01-02,2017-01,0.2861111111111111,0.35833333333333334,0.325,0.030555555555555555
2017,2,2017-01-09,2017-01,0.2861111111111111,0.35833333333333334,0.325,0.030555555555555555
2017,3,2017-01-16,2017-01,0.2861111111111111,0.35833333333333334,0.325,0.030555555555555555
2017,4,2017-01-23,2017-01,0.2861111111111111,0.35833333333333334,0.325,0.030555555555555555
2017,5,2017-01-30,2017-01,0.2861111111111111,0.35833333333333334,0.325,0.030555555555555555
2017,6,2017-02-06,2017-02,0.21052631578947367,0.3508771929824561,0.42105263157894735,0.017543859649122806
2017,7,2017-02-13,2017-02,0.21052631578947367,0.3508771929824561,0.42105263157894735,0.017543859649122806
2017,8,2017-02-20,2017-02,0.21052631578947367,0.3508771929824561,0.42105263157894735,0.017543859649122806
2017,9,2017-02-27,2017-02,0.21052631578947367,0.3508771929824561,0.42105263157894735,0.017543859649122806
2017,10,2017-03-06,2017-03,0.22297297297297297,0.5540540540540541,0.22297297297297297,0.0
2017,11,2017-03-13,2017-03,0.22297297297297297,0.5540540540540541,0.22297297297297297,0.0
2017,12,2017-03-20,2017-03,0.22297297297297297,0.5540540540540541,0.22297297297297297,0.0
2017,13,2017-03-27,2017-03,0.22297297297297297,0.5540540540540541,0.22297297297297297,0.0
2017,14,2017-04-03,2017-04,0.1858974358974359,0.5,0.2692307692307692,0.04487179487179487
2017,15,2017-04-10,2017-04,0.1858974358974359,0.5,0.2692307692307692,0.04487179487179487
2017,16,2017-04-17,2017-04,0.1858974358974359,0.5,0.2692307692307692,0.04487179487179487
2017,17,2017-04-24,2017-04,0.1858974358974359,0.5,0.2692307692307692,0.04487179487179487
2017,18,2017-05-01,2017-05,0.11507936507936507,0.5634920634920635,0.29365079365079366,0.027777777777777776
2017,19,2017-05-08,2017-05,0.11507936507936507,0.5634920634920635,0.29365079365079366,0.027777777777777776
2017,20,2017-05-15,2017-05,0.11507936507936507,0.5634920634920635,0.29365079365079366,0.027777777777777776
2017,21,2017-05-22,2017-05,0.11507936507936507,0.5634920634920635,0.29365079365079366,0.027777777777777776
2017,22,2017-05-29,2017-05,0.11507936507936507,0.5634920634920635,0.29365079365079366,0.027777777777777776
2017,23,2017-06-05,2017-06,0.17064846416382254,0.5972696245733788,0.20819112627986347,0.023890784982935155
2017,24,2017-06-12,2017-06,0.17064846416382254,0.5972696245733788,0.20819112627986347,0.023890784982935155
2017,25,2017-06-19,2017-06,0.17064846416382254,0.5972696245733788,0.20819112627986347,0.023890784982935155
