date,cases
2018-10-22,78
2018-10-29,75
2018-11-05,71
2018-11-12,78
2018-11-19,97
2018-11-26,109
2018-12-03,115
2018-12-10,108
2018-12-17,128
2018-12-24,160
2019-01-07,207
2019-01-14,245
2019-01-21,215
2019-01-28,222
2019-02-04,182
2019-02-11,138
2019-02-18,235
2019-02-25,182
2019-03-04,157
2019-03-11,134
2019-03-18,109
2019-03-25,97
2019-04-01,100
2019-04-08,108
2019-04-15,125
2019-04-22,135
2019-04-29,157
2019-05-06,194
2019-05-13,287
2019-05-20,309
2019-05-27,378
2019-06-03,401
2019-06-10,400
2019-06-17,467
2019-06-24,433
2019-07-01,497
2019-07-08,593
2019-07-15,663
2019-07-22,646
2019-07-29,605
2019-08-05,599
2019-08-12,523
2019-08-19,524
2019-08-26,474
2019-09-02,414
2019-09-09,327
2019-09-16,317
2019-09-23,301
2019-09-30,261
2019-10-07,246
2019-10-14,227
2019-10-21,239
2019-10-28,242
2019-11-04,308
2019-11-11,322
2019-11-18,373
2019-11-25,331
2019-12-02,295
2019-12-09,281
2019-12-16,257
2019-12-23,226
2019-12-30,290
2020-01-06,303
2020-01-13,343
2020-01-20,404
2020-01-27,309
2020-02-03,370
2020-02-10,400
2020-02-17,380
2020-02-24,381
2020-03-02,374
2020-03-09,375
2020-03-16,389
2020-03-23,368
2020-03-30,377
2020-04-06,315
2020-04-13,343
2020-04-20,360
2020-04-27,400
2020-05-04,390
2020-05-11,507
2020-05-18,526
2020-05-25,619
2020-06-01,732
2020-06-08,868
2020-06-15,1153
2020-06-22,1371
2020-06-29,1460
2020-07-06,1448
2020-07-13,1667
2020-07-20,1729
2020-07-27,1792
2020-08-03,1378
2020-08-10,1667
2020-08-17,1339
2020-08-24,1287
2020-08-31,1154
2020-09-07,938
2020-09-14,725
2020-09-21,671
2020-09-28,591
2020-10-05,605
2020-10-12,529
2020-10-19,592
2020-10-26,565
2020-11-02,440
2020-11-09,408
2020-11-16,355
2020-11-23,258
2020-11-30,279
2020-12-07,228
2020-12-14,227
2020-12-21,236
2020-12-28,196
2021-01-04,194
2021-01-04,194
2021-01-11,166
2021-01-18,152
2021-01-25,135
2021-02-01,141
2021-02-08,143
2021-02-15,148
2021-02-22,146
2021-03-01,140
2021-03-08,145
2021-03-15,129
2021-03-22,120
2021-03-29,113
2021-04-05,102
2021-04-12,112
2021-04-19,129
2021-04-26,84
2021-05-03,117
2021-05-10,92
2021-05-17,119
2021-05-24,130
2021-05-31,118
2021-06-07,137
2021-06-14,135
2021-06-21,127
2021-06-28,112
2021-07-05,104
2021-07-12,75
2021-07-19,80
2021-07-26,82
2021-08-02,70
2021-08-09,81
2021-08-16,56
2021-08-23,53
2021-08-30,46
2021-09-06,61
2021-09-13,74
2021-09-20,110
2021-09-27,105
2021-10-04,104
2021-10-11,85
2021-10-18,76
2021-10-25,75
2021-11-01,59
2021-11-08,42
2021-11-15,56
2021-11-22,63
2021-11-29,48
2021-12-06,65
2021-12-13,61
2021-12-20,68
2021-12-27,79
2022-01-03,106
2022-01-10,146
2022-01-17,180
2022-01-24,171
2022-01-31,154
2022-02-07,169
2022-02-14,206
2022-02-21,201
2022-02-28,263
2022-03-07,369
2022-03-14,421
2022-03-21,441
2022-03-28,510
2022-04-04,643
2022-04-11,734
2022-04-18,942
2022-04-25,1003
2022-05-02,846
2022-05-09,1315
2022-05-16,1276
2022-05-23,1567
2022-05-30,1454
2022-06-06,1460
2022-06-13,1254
2022-06-20,1172
2022-06-27,1187
2022-07-04,1164
2022-07-11,918
2022-07-18,1036
2022-07-25,1092
2022-08-01,896
2022-08-08,879
2022-08-15,679
2022-08-22,662
2022-08-29,581
2022-09-05,570
2022-09-12,544
2022-09-19,472
2022-09-26,426
2022-10-03,397
2022-10-10,376
2022-10-17,373
2022-10-24,314
2022-10-31,318
2022-11-07,294
2022-11-14,315
2022-11-21,265
2022-11-28,242
2022-12-05,327
2022-12-12,290
2022-12-19,270
2022-12-26,285
