date,cases,temp_std,rain_std
2012-01-30,85,-1.204003022464628,-0.6442440950954386
2012-02-06,87,-1.9623567570747564,1.008409281071202
2012-02-13,65,-1.1717326507790948,-0.35977097296839383
2012-02-20,51,-1.5105715534772344,-0.4207294991384749
2012-02-27,55,-1.623517854376613,-0.051591757330762
2012-03-05,46,-0.4456492878544998,-0.7221355452016532
2012-03-12,64,-1.5428419251627716,0.17869600820065518
2012-03-19,73,-0.23589187189850544,-0.6781099429677058
2012-03-26,48,-0.5908659604394196,-0.5561928906275438
2012-04-02,52,-1.1717326507790948,0.7171629893697041
2012-04-09,82,-1.3814900667350853,1.2827226488365668
2012-04-16,77,-0.4779196595400371,0.3107728149024973
2012-04-23,64,-0.8812993056092553,0.6900703110718904
2012-04-30,88,-0.8812993056092553,1.160805596496405
2012-05-07,97,-0.8490289339237179,1.746684764686628
2012-05-14,80,-0.6231363321249569,2.1429151847921544
2012-05-21,80,0.40951556181224036,-0.6374709255209852
2012-05-28,81,-0.5101900312255744,2.0548639803242597
2012-06-04,100,-0.026134455942515053,2.071796904260393
2012-06-11,88,0.7483544645103839,0.11096431245612072
2012-06-18,129,0.3772451901267071,0.8356934569226394
2012-06-25,151,0.19975814585624999,0.4597825455404729
2012-07-02,140,0.5063266768688522,0.6968434806463437
2012-07-09,132,1.474437827434975,-0.7221355452016532
2012-07-16,125,1.0065174379946822,-0.7221355452016532
2012-07-23,110,0.5547322343971602,-0.6442440950954386
2012-07-30,94,-0.80062337639541,1.4893043208573968
2012-08-06,127,-0.752217818867102,0.3412520779875378
2012-08-13,115,-0.574730774596649,0.24304111915796286
2012-08-20,92,0.6838137211393094,-0.7221355452016532
2012-08-27,102,0.21589333169902064,0.03645944713713272
2012-09-03,76,0.5708674202399269,-0.6713367733932524
2012-09-10,74,0.31270444675562853,0.2396545343707361
2012-09-17,72,0.05454147327133018,0.32770573883863097
2012-09-24,100,-0.7360826330243354,-0.08207102041580258
2012-10-01,104,-0.752217818867102,0.8424666264970929
2012-10-08,123,0.1029470307996341,0.03645944713713272
2012-10-15,105,0.40951556181224036,-0.7221355452016532
2012-10-22,84,-0.3327029869551173,-0.5934453232870377
2012-10-29,104,0.23202851754178727,-0.7221355452016532
2012-11-05,100,-0.30043261526958404,-0.12948320743697667
2012-11-12,88,-1.4783011817916931,0.61895203054012915
2012-11-19,100,0.7644896503531546,-0.3936368208406611
2012-11-26,80,-1.123327093250787,-0.1904417336070577
2012-12-03,78,-0.8974344914520219,0.22610819522182926
2012-12-10,105,-1.0426511640369418,-0.4037965752023412
2012-12-17,94,-1.026515978194175,0.14483016032838794
2012-12-24,112,-0.574730774596649,1.208217783517579
2012-12-24,112,-0.9619752348230964,1.66202014500596
2013-01-07,134,-1.849410456175378,3.026813814258329
2013-01-14,205,-1.5428419251627716,0.6020191066039956
2013-01-21,219,-0.7038122613387982,-0.7221355452016532
2013-01-28,267,-1.3653548808923146,-0.5155538731808231
